sku,name,image_link,overview,length,width,height,diameter,volume,material,color,pattern,ean_code,barcode,upc,product_url,source
SN1575,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1575-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1575-s-s-cooling-rack-electrolysis/,chakawal.com
SN1341,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1341-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1341-stainless-steel-sheet-pan/,chakawal.com
SN1569,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1569-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1569-s-s-cooling-rack-electrolysis/,chakawal.com
SN1411,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1411-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1411-honey-cake-pan-white-pine/,chakawal.com
SN1314,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1314-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1314-al-alloy-corrugated-sheet-pan-non-stick/,chakawal.com
SN1050,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1050-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1050-al-alloy-sheet-pan-round-corner-non-stick/,chakawal.com
SN1049,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1049-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1049-al-alloy-sheet-pan-round-corner-anodized/,chakawal.com
SN1084,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1084-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1084-alusteel-sheet-pan-flat-bar/,chakawal.com
SN1172,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1172-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1172-stable-al-alloy-sheet-pan-non-stick/,chakawal.com
SN1072,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1072-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1072-al-alloy-sheet-pan-non-stick/,chakawal.com
SN0473,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN0473-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn0473-fiber-glass-sheet-p-t-f-e/,chakawal.com
SN1107,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1107-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1107-al-alloy-sheet-pan-anodized/,chakawal.com
SN1071,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1071-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1071-al-alloy-sheet-pan-anodized/,chakawal.com
SN1174,N/A,https://chakawal.com/wp-content/uploads/2022/12/SN1174-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/sn1174-stable-al-alloy-sheet-pan-round-corner-non-stick/,chakawal.com
BG338,N/A,https://chakawal.com/wp-content/uploads/2023/01/BG338-300x300.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://chakawal.com/product/bg338-waterproof-thermometer-50c280c/,chakawal.com
