mfr,product_url,image_link,overview,length,width,height,capacity,diameter,features,edge_style,color,shape,material
17750550,https://www.webstaurantstore.com/musselmans-10-can-heat-n-serve-spiced-homestyle-country-apples-case/10730550.html,https://cdnimg.webstaurantstore.com/images/products/large/153747/2317203.jpg,"Warm, spiced taste | Includes cinnamon for an apple pie like flavor | Great on its own or for baking | Includes the apple peel on each slice",,,,,,"Gluten-Free, Kosher",,,,
17750557,https://www.webstaurantstore.com/steelite-performance-craft-3-oz-white-pourer-case/57611550557.html,https://cdnimg.webstaurantstore.com/images/products/large/822140/2790903.jpg,"Ideal for serving cream, syrups, or sauces | Rustic design with a bold brown rim and unique speckled pattern | Durable alumina vitrified construction ensures long-lasting performance | Adds a warm, artisanal touch to any tabletop setting | Perfect for casual bistros, upscale cafes, or contemporary restaurants",3 Inches,,2 7/8 Inches,3 oz.,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,"Brown, White",Round,China
17750575,https://www.webstaurantstore.com/homer-laughlin-by-steelite-international-1-75-oz-craft-white-taster-dip-bowl-11550575-case/57611550575.html,https://cdnimg.webstaurantstore.com/images/products/large/802779/2727082.jpg,"Ideal for serving sauces, dips, or small sides | Rustic design with a bold brown rim and unique speckled pattern | Durable alumina vitrified construction ensures long-lasting performance | Adds a warm, artisanal touch to any tabletop setting | Perfect for casual bistros, upscale cafes, or contemporary restaurants",,,1 1/4 Inches,1.75 oz.,2 1/2 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",,"Brown, White",Round,China
17750583,https://www.webstaurantstore.com/dei-fratelli-10-can-seasoned-diced-tomatoes-case/10750183.html,https://cdnimg.webstaurantstore.com/images/products/large/600209/2172026.jpg,"Made with perfectly ripe, high-quality tomatoes | Seasoned with salt, celery, onion, garlic, and peppers | Great addition to chili, bruschetta, soups, salsa, and sauces | Perfect for use in Italian or Mexican fare | Pre-diced tomatoes save prep time in your commercial kitchen",,,,,,"Gluten-Free, Kosher, Made in America, Non-GMO",,,,
17750592,https://www.webstaurantstore.com/steelite-performance-craft-10-oz-white-quench-mug-case/57611550592.html,https://cdnimg.webstaurantstore.com/images/products/large/822194/2790645.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic design with a bold brown rim and unique speckled pattern | Durable alumina vitrified construction ensures long-lasting performance | Adds a warm, artisanal touch to any tabletop setting | Perfect for casual bistros, upscale cafes, or contemporary restaurants",4 1/4 Inches,,4 3/8 Inches,10 oz.,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Colored Rim,"Brown, White",Round,China
17750829,https://www.webstaurantstore.com/steelite-performance-craft-lid-for-15-oz-white-soup-bowl-base-case/57611550829.html,https://cdnimg.webstaurantstore.com/images/products/large/821980/2790455.jpg,"Replaces lost or broken lid for compatible soup bowl base (sold separately) | Rustic design with a unique speckled pattern | Durable alumina vitrified construction ensures long-lasting performance | Adds a warm, artisanal touch to any tabletop setting | Perfect for casual bistros, upscale cafes, or contemporary restaurants",,,,,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable",Colored Rim,"Brown, White",Round,China
17760179,https://www.webstaurantstore.com/foundations-1776047-serenity-44-1-2-x-12-1-2-x-25-11-compartment-natural-wood-wall-mount-diaper-organizer/4521776047.html,https://cdnimg.webstaurantstore.com/images/products/large/580192/2102633.jpg,"Provides a safe, comfortable, and convenient way to change diapers and store supplies | Made of Baltic birch 11-ply 5/8"" plywood for outstanding durability | Includes (8) separate compartments for organizing diapers | (3) Larger cabinets for additional supplies | Designed to pair with Serenity changing cabinets and cribs (sold separately)",,44 1/2 Inches,25 Inches,,,,,Beige,,Wood
17760544,https://www.webstaurantstore.com/steelite-performance-blue-dapple-11-coupe-plate-case/57617100544.html,https://cdnimg.webstaurantstore.com/images/products/large/840003/2853075.jpg,"Ideal for serving large dinner entrees, hearty salads, or sharing platters | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,,,11 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Blue, White",Round,China
1775X0021,https://www.webstaurantstore.com/steelite-performance-blue-dapple-8-oz-cup-case/5761710X0021.html,https://cdnimg.webstaurantstore.com/images/products/large/839912/2852939.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Oven safe up to 530 degrees Fahrenheit | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,2 7/8 Inches,8 oz.,4 5/8 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
17760579,https://www.webstaurantstore.com/blodgett-60579-solid-state-relay-2x50a/19560579.html,https://cdnimg.webstaurantstore.com/images/products/large/867748/3025491.jpg,OEM part ensures warranty / agency compliance and best performance,,,,,,Made in America,,,,
17760586,https://www.webstaurantstore.com/groen-176058-firebar-heater-7-2kw-208-vac/787176058.html,https://cdnimg.webstaurantstore.com/images/products/large/873808/3054865.jpg,OEM part ensures warranty / agency compliance and best performance,,,,,,,,,,
17760597,https://www.webstaurantstore.com/steelite-performance-blue-dapple-19-25-oz-essence-bowl-case/57617100597.html,https://cdnimg.webstaurantstore.com/images/products/large/839933/2853084.jpg,"Ideal for serving soups, salads, or side dishes | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,2 3/8 Inches,19.25 oz.,6 1/2 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
