category_name,product_url,image_link,overview,length,width,features,edge_style,color,shape,material
China Bowls,https://www.webstaurantstore.com/steelite-performance-blue-dapple-20-oz-pasta-bowl-case/57617100350.html,https://cdnimg.webstaurantstore.com/images/products/large/839778/2854237.jpg,"Ideal for serving pasta dishes, soups, or salads | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Wide Rim","Blue, White",Round,China
China Bowls,https://www.webstaurantstore.com/steelite-performance-blue-dapple-19-25-oz-essence-bowl-case/57617100597.html,https://cdnimg.webstaurantstore.com/images/products/large/839933/2853084.jpg,"Ideal for serving soups, salads, or side dishes | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
China Bowls,https://www.webstaurantstore.com/steelite-performance-blue-dapple-16-oz-oatmeal-bowl-case/57617100126.html,https://cdnimg.webstaurantstore.com/images/products/large/840081/2854258.jpg,"Ideal for serving oatmeal, soups, or cereals | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
China Bowls,https://www.webstaurantstore.com/steelite-performance-blue-dapple-15-oz-stack-bowl-case/5761710X0009.html,https://cdnimg.webstaurantstore.com/images/products/large/839783/2852880.jpg,"Ideal for serving soups, cereals, or side dishes | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Stackable for space-saving storage | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe, Stackable",Colored Rim,"Blue, White",Round,China
China Bowls,https://www.webstaurantstore.com/steelite-performance-blue-dapple-11-5-oz-essence-bowl-case/57617100598.html,https://cdnimg.webstaurantstore.com/images/products/large/839953/2853085.jpg,"Ideal for serving salads, side dishes, or desserts | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
China Bowls,https://www.webstaurantstore.com/steelite-performance-blue-dapple-4-5-oz-fruit-dish-case/57617100131.html,https://cdnimg.webstaurantstore.com/images/products/large/840049/2853115.jpg,"Ideal for serving fresh fruit, small sides, or desserts | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Medium Rim","Blue, White",Round,China
China Bowls,https://www.webstaurantstore.com/steelite-performance-brown-dapple-27-oz-coupe-bowl-case/57617140570.html,https://cdnimg.webstaurantstore.com/images/products/large/821884/2775740.jpg,"Ideal for serving salads, pasta, or hearty entrees | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-8-5-oz-club-mug-case/57611010346.html,https://cdnimg.webstaurantstore.com/images/products/large/839859/2854224.jpg,"Ideal for serving coffee, tea, or other hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",4 3/8 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Rolled Edge,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-8-oz-quench-mug-case/57611010593.html,https://cdnimg.webstaurantstore.com/images/products/large/839827/2854388.jpg,"Ideal for serving coffee, tea, or other hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",4 1/8 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-8-oz-low-cup-case/57611010189.html,https://cdnimg.webstaurantstore.com/images/products/large/839853/2854040.jpg,"Ideal for serving coffee, tea, or other hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",4 3/4 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-7-5-oz-atlanta-stack-cup-case/57611010154.html,https://cdnimg.webstaurantstore.com/images/products/large/840000/2854033.jpg,"Ideal for serving coffee, tea, or other hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Stackable design for convenient storage and service",4 1/4 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe, Stackable",,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-7-oz-slimline-tall-cup-case/57611010216.html,https://cdnimg.webstaurantstore.com/images/products/large/839769/2854058.jpg,"Ideal for serving coffee, tea, or other hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",4 1/4 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Rolled Edge,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-7-oz-slimline-stack-cup-case/57611010217.html,https://cdnimg.webstaurantstore.com/images/products/large/839796/2854059.jpg,"Ideal for serving coffee, tea, or other hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Stackable design for convenient storage and service",4 3/8 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe, Stackable",,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-6-slimline-single-well-saucer-case/57611010218.html,https://cdnimg.webstaurantstore.com/images/products/large/840036/2852755.jpg,"Ideal for use when serving coffee or tea | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Wide Rim,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-simplicity-6-oz-slimline-stack-cup-case/57611010230.html,https://cdnimg.webstaurantstore.com/images/products/large/839994/2854062.jpg,"Ideal for serving espresso, cappuccino, or other small, hot beverages | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Stackable design for convenient storage and service",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe, Stackable",,White,Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-8-oz-cup-case/5761714X0021.html,https://cdnimg.webstaurantstore.com/images/products/large/839834/2853078.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-6-saucer-case/5761714X0042.html,https://cdnimg.webstaurantstore.com/images/products/large/839845/2852817.jpg,"Ideal for use under coffee or tea cups | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-6-oz-cup-case/5761714X0022.html,https://cdnimg.webstaurantstore.com/images/products/large/840034/2853079.jpg,"Ideal for serving espresso, cappuccino, or other small beverages | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-5-saucer-case/5761714X0043.html,https://cdnimg.webstaurantstore.com/images/products/large/840072/2852895.jpg,"Ideal for use under coffee or tea cups | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-3-oz-cup-case/5761714X0023.html,https://cdnimg.webstaurantstore.com/images/products/large/839755/2852724.jpg,"Ideal for serving espresso, cappuccino, or other small beverages | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-12-oz-cup-case/5761714X0019.html,https://cdnimg.webstaurantstore.com/images/products/large/839870/2853076.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-10-oz-quench-mug-case/57617140592.html,https://cdnimg.webstaurantstore.com/images/products/large/821936/2775728.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",4 1/4 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-brown-dapple-10-oz-cup-case/5761714X0020.html,https://cdnimg.webstaurantstore.com/images/products/large/840029/2853077.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-8-oz-cup-case/5761710X0021.html,https://cdnimg.webstaurantstore.com/images/products/large/839912/2852939.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-6-saucer-case/5761710X0042.html,https://cdnimg.webstaurantstore.com/images/products/large/840090/2852940.jpg,"Ideal for use under coffee or tea cups | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-5-saucer-case/5761710X0043.html,https://cdnimg.webstaurantstore.com/images/products/large/839823/2852942.jpg,"Ideal for use under coffee or tea cups | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-3-oz-cup-case/5761710X0023.html,https://cdnimg.webstaurantstore.com/images/products/large/839857/2852945.jpg,"Ideal for serving espresso, cappuccino, or other small beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-12-oz-cup-case/5761710X0019.html,https://cdnimg.webstaurantstore.com/images/products/large/839978/2852935.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-10-oz-quench-mug-case/57617100592.html,https://cdnimg.webstaurantstore.com/images/products/large/840079/2852822.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",4 1/4 Inches,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-10-oz-cup-case/5761710X0020.html,https://cdnimg.webstaurantstore.com/images/products/large/839868/2852936.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
"China Cups, Mugs, and Saucers",https://www.webstaurantstore.com/steelite-performance-blue-dapple-10-oz-club-mug-case/57617100349.html,https://cdnimg.webstaurantstore.com/images/products/large/840105/2852831.jpg,"Ideal for serving coffee, tea, or other hot beverages | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Blue, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-simplicity-9-slimline-plate-case/57611010211.html,https://cdnimg.webstaurantstore.com/images/products/large/839779/2854069.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Wide Rim,White,Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-simplicity-8-x-4-1-2-crescent-salad-plate-case/57611010207.html,https://cdnimg.webstaurantstore.com/images/products/large/839849/2854044.jpg,"Ideal for serving side salads or small appetizers | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",8 Inches,4 1/2 Inches,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Coupe,White,Crescent,China
China Plates,https://www.webstaurantstore.com/steelite-performance-simplicity-8-slimline-plate-case/57611010212.html,https://cdnimg.webstaurantstore.com/images/products/large/839813/2854070.jpg,"Ideal for serving lunch entrees or salads | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Wide Rim,White,Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-simplicity-8-madison-plate-case/57611010815.html,https://cdnimg.webstaurantstore.com/images/products/large/840052/2854236.jpg,"Ideal for serving lunch entrees or salads | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Wide Rim,White,Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-simplicity-8-cresta-plate-case/57611010703.html,https://cdnimg.webstaurantstore.com/images/products/large/839801/2854393.jpg,"Ideal for serving lunch entrees or salads | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use | Versatile for upscale dining, casual restaurants, and catered events",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Narrow Rim,White,Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-simplicity-7-slimline-plate-case/57611010213.html,https://cdnimg.webstaurantstore.com/images/products/large/839863/2854071.jpg,"Versatile for upscale dining, casual restaurants, and catered events | Ideal for serving salads, sandwiches, or desserts | Clean white color provides a versatile backdrop for food presentation | Durable alumina vitrified construction ensures long-lasting performance | Designed for high-volume service and frequent use",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Wide Rim,White,Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-9-slimline-plate-case/57617140211.html,https://cdnimg.webstaurantstore.com/images/products/large/821944/2775663.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/homer-laughlin-by-steelite-international-9-dapple-brown-coupe-plate-17140543-24-case-case/57617140543.html,https://cdnimg.webstaurantstore.com/images/products/large/802835/2727074.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-8-slimline-plate-case/57617140212.html,https://cdnimg.webstaurantstore.com/images/products/large/821897/2775664.jpg,"Ideal for serving entrees, salads, or appetizers | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-6-1-4-slimline-plate-case/57617140214.html,https://cdnimg.webstaurantstore.com/images/products/large/821784/2775665.jpg,"Ideal for serving salads, appetizers, or desserts | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-11-3-4-coupe-plate-case/57617140565.html,https://cdnimg.webstaurantstore.com/images/products/large/821841/2775651.jpg,"Ideal for serving large dinner entrees, hearty salads, or sharing platters | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-10-slimline-plate-case/57617140210.html,https://cdnimg.webstaurantstore.com/images/products/large/839816/2852914.jpg,"Ideal for serving large dinner entrees or hearty salads | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Wide Rim","Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-10-coupe-plate-case/57617140566.html,https://cdnimg.webstaurantstore.com/images/products/large/821920/2775652.jpg,"Ideal for serving large dinner entrees or hearty salads | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-brown-dapple-10-5-8-slimline-plate-case/57617140209.html,https://cdnimg.webstaurantstore.com/images/products/large/821758/2775662.jpg,"Ideal for serving large dinner entrees, hearty salads, or sharing platters | Rustic enamelware-inspired design with a bold brown dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe",Colored Rim,"Brown, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-blue-dapple-9-slimline-plate-case/57617100211.html,https://cdnimg.webstaurantstore.com/images/products/large/839869/2852821.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Wide Rim","Blue, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-blue-dapple-9-coupe-plate-case/57617100543.html,https://cdnimg.webstaurantstore.com/images/products/large/839772/2853074.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Blue, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-blue-dapple-8-slimline-plate-case/57617100212.html,https://cdnimg.webstaurantstore.com/images/products/large/840011/2852707.jpg,"Ideal for serving entrees, salads, or appetizers | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Wide Rim","Blue, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-blue-dapple-8-coupe-plate-case/57617100567.html,https://cdnimg.webstaurantstore.com/images/products/large/840008/2852896.jpg,"Ideal for serving lunch entrees, salads, or shared appetizers | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Blue, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-blue-dapple-6-coupe-plate-case/57617100568.html,https://cdnimg.webstaurantstore.com/images/products/large/840101/2852742.jpg,"Ideal for serving small salads, desserts, or fresh baked bread | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Coupe","Blue, White",Round,China
China Plates,https://www.webstaurantstore.com/steelite-performance-blue-dapple-6-1-4-slimline-plate-case/57617100214.html,https://cdnimg.webstaurantstore.com/images/products/large/840032/2852819.jpg,"Ideal for serving salads, appetizers, or desserts | Rustic enamelware-inspired design with a bold blue dappled rim | Durable alumina vitrified construction ensures long-lasting performance | Timeless aesthetic that complements both modern and traditional settings | Perfect for upscale casual dining, farm-to-table restaurants, and boutique hotels",,,"Dishwasher Safe, Freezer Safe, Lead Free, Microwavable, Oven Safe","Colored Rim, Wide Rim","Blue, White",Round,China
