name,item_sku,model_number,manufacturer,image_link,overview,material,color,pattern,length,width,height,volume_capacity,diameter,country_of_origin,upc_barcode,ean_code,hazmat,oversize,marketplace_uom,product_url
"Steelite 7368MW512 Axis Spire Dark Wood 8.9 x 2.5""H Sugar Box",6127500,7368MW512,6127500,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5018461791745,N/A,No,No,N/A,https://www.wasserstrom.com/restaurant-supplies-equipment/box-sugar-89x-25-quot;h-axis-spire-drk-wood-6127500
Steelite UR90722024 Utopia Hayworth 12 ounce Tumbler Glass - 24 / CS,6128051,UR90722024,6128051,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,24,https://www.wasserstrom.com/restaurant-supplies-equipment/glass-tumbler-12-oz-utopia-hayworth-6128051
Rona 4827R316 Stemless 18.25 Oz Double Old Fashioned Glass - 24 / CS,6074310,4827R190,6074310,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"The latest trend in glassware is sans stem. Serve cocktails of all kinds in this trendy old fashioned glass. The stemless design minimizes breakage while providing a sleek appearance,",Glass,Clear,N/A,4 Inches,4 Inches,0,18.25 Ounces,N/A,Slovakia,N/A,N/A,No,No,Case = 24,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-4827r316-1825-oz-double-old-fashioned-glass---24---cs-642317
Rona 4827R310 Stemless 15-1/2 oz Bordeaux Glass - 24 / CS,6074310,4827R190,6074310,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,Rona Stemless is the latest trend and perfect for use in upscale bars or restaurants. The stemless design minimizes breakage while providing a sleek appearance.,Glass,Clear,N/A,3.38 Inches,3.38 Inches,0,15.5 Ounces,N/A,Slovakia,N/A,N/A,No,No,Case = 24,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-4827r310-rona-stemless-bordeaux-15-1-2-oz-glass---24---cs-692968
"Varick 6900E502 Classic Cafe Porcelain 10-5/8"" Plate - 12 / CS",340594,6900E500,340594,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"Serve delicious appetizers or main entrees with this 10.63"" round plate from Steelite. It is part of the Varick Cafe Porcelain Collection and features a superior glaze that adds a beautiful finished look. This plate is perfect for restaurants or banquet facilities and is dishwasher, oven and microwave safe.",Porcelain,White,Classic Cafe,10.63 Inches,10.63 Inches,N/A,N/A,N/A,China,N/A,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-6900e502-varick-cafe-porcelain-10-5-8-plate---12---cs-743113
Varick 6900E512 Classic Cafe Porcelain 10 Oz. Soup Bowl - 12 / CS,538132,6900E532,538132,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"Serve delicious soup or stew with this 10 ounce soup bowl from Steelite. It is part of the Varick Cafe Porcelain Collection and is perfect for restaurants or banquet facilities. This stacking bowl features a superior glaze that adds a beautiful finished look and is dishwasher, oven and microwave safe.",Porcelain,White,Classic Cafe,N/A,4.25 Inches,2.13 Inches,10 Ounces,N/A,China,N/A,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-6900e512-varick-cafe-porcelain-10-oz-soup-bowl---12---cs-766543
"Roselli  6950E708 White 9-1/2"" Round Riser",786632,6950E708,786632,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,Elevate your culinary presentations by displaying them on this Roselli porcelain riser.,Porcelain,White,N/A,9.5 Inches,9.5 Inches,0,N/A,N/A,China,N/A,N/A,No,No,N/A,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-6950e708-roselli-9-1-2-round-riser-786632
Steelite 7810JB004 Baja Sandstone 2 oz. Melamine Stack Bowl - 24 / CS,6112854,7810JB023,6112854,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,China,5018461693247,N/A,No,No,24,https://www.wasserstrom.com/restaurant-supplies-equipment/bowl-stack-melamine-2-oz-3-quot;dia-sandstone-6117062
Rona 4802R217 Stellar 10-1/4 Oz Beer Tumbler - 24 / CS,529928,4802R261,529928,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"The sleek design of this tumbler is great for beer, soda, water, or iced tea. The fine rim enhances the drinking experience.",Glass,Clear,Stellar,2.5 Inches,2.5 Inches,0,11 Ounces,N/A,Slovakia,N/A,N/A,No,No,Case = 24,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-4802r217-rona-stellar-10-1-4-oz-beer-tumbler---24---cs-922148
"Folio 5743SX005 Logan 4-3/4"" A.D. Coffee Spoon - Dozen",6087196,5743SX002,6087196,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"Create a traditional presentation with the classic beaded-rim design of Logan. Made of 18/10 stainless steel, Logan by Folio is an attractive flatware collection suitable for most dining occasions.",Stainless Steel,Silver,Logan,4.75 inches,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,Dozen = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/spoon-coffee-ad-4-3-4-quot;-logan-folio-6099513
"Walco WL2705 Colgate 7.5"" Dinner Fork - Dozen",6115502,WL2707,6115502,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"The Colgate Flatware Collection from Walco showcases a classic beaded-edge handle design that brings an elegant touch to any dining setup. Crafted from 18/0 stainless steel, this collection is both sturdy and budget-friendly, perfect for a range of food service needs.",Stainless Steel,Silver,Colgate,7.5 Inches,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/fork-75-quot;-dinner-walco-colgate-18-0-6115467
"Walco WL2701 Colgate 6.4"" Teaspoon - Dozen",6115502,WL2707,6115502,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"The Walco Colgate Flatware Collection features a timeless beaded-edge handle design that adds a touch of classic elegance to any table setting. Made from 18/0 stainless steel, this collection is both durable and economically priced, making it ideal for various food service applications.",Stainless Steel,Silver,Colgate,6.4 Inches,N/A,N/A,N/A,N/A,China,N/A,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/teaspoon-64-quot;-walco-colgate-18-0-6115469
Rona 4803R221 Lunar 17.5 Oz Highball Glass - 24 / CS,248252,4803R222,248252,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,Rona Lunar has sophisticated style for formal or casual occasions. Perfect for your favorite highball drinks.,Glass,Clear,Lunar,3.13 Inches,3.13 Inches,0,17.5 Ounces,N/A,Slovakia,N/A,N/A,No,No,Case = 24,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-4803r221-rona-lunar-16-1-2-oz-highball-glass---24---cs-564942
"Varick 6900E505 Classic Cafe Porcelain 8"" Plate - 12 / CS",340594,6900E500,340594,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"Serve delicious appetizers or desserts with this 8"" round plate from Steelite. It is part of the Varick Cafe Porcelain Collection and is perfect for restaurants or banquet facilities. This plate features a superior glaze that adds a beautiful finished look and is dishwasher, oven and microwave safe.",Porcelain,White,Classic Cafe,8 Inches,8 Inches,N/A,N/A,N/A,China,N/A,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/steelite-6900e505-varick-cafe-porcelain-8-plate---12---cs-916043
"Homer Laughlin 466100 Fiesta White 10.5"" Plate - Case - 12 / CS",444251,HL570100,444251,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,Guests will love the wide rim with sculpted rings and the elegant white body color of this Fiesta® White line dinner plate.,China,White,Fiesta White,10.5 Inches,10.5 Inches,N/A,N/A,N/A,United States,042648004668,N/A,No,No,Case = 12,https://www.wasserstrom.com/restaurant-supplies-equipment/homer-laughlin-466100-fiesta-white-10-1-2-plate---case---12---cs-404409
"Folio 5742SX021 Carolyn 8-1/8"" Dinner Fork - Dozen",6126224,5742SX021,6126224,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This Carolyn Dinner Fork is a staple of fine dining, featuring a balanced design and sturdy construction. At 8 1/8"", it is made from 18/10 stainless steel, ensuring longevity and a refined finish. The vertical lines along the handle add a touch of elegance, making it a perfect choice for formal dining experiences.",Stainless Steel,Silver,Carolyn,8.13 Inches,N/A,N/A,N/A,N/A,Vietnam,5018461576991,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/fork-dinner-8-1-8-quot;-18-10-folio-carolyn-6126224
"Folio 5742SX001 Carolyn 6-1/4"" Teaspoon - Dozen",6126230,5742SX001,6126230,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-dining-room-desktop?scl=1&fmt=jpg&qlt=85,"This Carolyn Teaspoon is a refined piece of flatware designed for both elegance and functionality. Crafted from 18/10 stainless steel, it boasts durability and a polished finish that enhances any dining setting. Measuring 6 1/4"", this teaspoon features classic vertical lines along the handle, adding a touch of sophistication to its design. Ideal for banqueting and upscale dining experiences, the Carolyn pattern seamlessly blends tradition with modern aesthetics, making it a versatile choice for ...",Stainless Steel,Silver,Carolyn,6.25 Inches,N/A,N/A,N/A,N/A,Vietnam,5018461576946,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/teaspoon-6-1-4-quot;-18-10-folio-carolyn-6126230
"Folio 5742SX042 Carolyn 13/0 9-3/8"" Dinner Knife - Dozen",6126226,5742SX042,6126226,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"This Carolyn Dinner Knife is a refined dining essential, designed for precision cutting. At 9 3/8"", it is made from stainless steel, ensuring durability and a sleek finish. The classic vertical lines along the handle add a touch of sophistication, making it a perfect fit for upscale dining environments.",Stainless Steel,Silver,Carolyn,9.4 Inches,N/A,N/A,N/A,N/A,Vietnam,5018461577028,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/knife-dinner-9-3-8-quot;-13-0-folio-carolyn-6126226
"Folio 5742SX023 Carolyn 7-1/4"" Dessert/Salad Fork - Dozen",6126225,5742SX023,6126225,https://assets.wasserstrom.com/image/upload/f_auto/pdp-leaderboard-quote-kitchen-desktop?scl=1&fmt=jpg&qlt=85,"This Carolyn Dessert/Salad Fork is a versatile utensil, ideal for enjoying salads and desserts. Measuring 7 1/4"", it is crafted from 18/10 stainless steel, offering durability and a polished appearance. The Carolyn pattern’s signature vertical lines enhance its sophisticated design, making it a stylish addition to any table setting.",Stainless Steel,Silver,Carolyn,7.25 Inches,N/A,N/A,N/A,N/A,Vietnam,5018461577004,N/A,No,No,12,https://www.wasserstrom.com/restaurant-supplies-equipment/fork-dessert-salad-7-1-4-quot;-folio-carolyn-6126225
