product_name,url,image_link,overview,length,width,height,volume,diameter,color,material,ean_code,pattern,barcode,mfr,sku,brand,series,type,capacity,case_pack_size,warranty,sale_price,regular_price,in_stock
Steelite - 4 1/4 In X 2 7/8 In (8 Oz) Beige Monaco Vogue Reg Teacup Tall (36 Per Case) - 9019C338,https://williamsfoodequipment.com/steelite-4-1-4-in-x-2-7-8-in-8-oz-beige-monaco-vogue-reg-teacup-tall-36-per-case-9019c338/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60343/main/image-url_zoom.webp,,,,,,,Beige,Alumina Vitrified,,,,9019C338,,Steelite International,Monaco Vogue,Cups,8 oz,36,Lifetime Edge Chip,"$2,551.80",,True
Steelite - 9 In X 1 3/4 In (9 1/2 Oz) White Monaco Vogue Nouveau Bowl (24 Per Case) - 9001C377,https://williamsfoodequipment.com/steelite-9-in-x-1-3-4-in-9-1-2-oz-white-monaco-vogue-nouveau-bowl-24-per-case-9001c377/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60172/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,9001C377,,Steelite International,Monaco Vogue,Bowls,9 1/2 oz,24,Lifetime Edge Chip,"$1,593.16",,True
Steelite - 6 1/2 In Beige Monaco Vogue Plate Vogue (36 Per Case) - 9019C362,https://williamsfoodequipment.com/steelite-6-1-2-in-beige-monaco-vogue-plate-vogue-36-per-case-9019c362/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/60294/101162/9019C362__61325.1712007559.jpg?c=1,,,,,,,Beige,Alumina Vitrified,,,,9019C362,,Steelite International,Monaco Vogue,Plates,,36,Lifetime Edge Chip,"$2,110.77",,True
Steelite - 4 Oz  White Craft Bowl (12 Per Case) - 11550525,https://williamsfoodequipment.com/steelite-5-in-x-3-3-4-in-x-2-1-8-in-4-oz-white-craft-bowl-12-per-case-11550525/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/59182/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,11550525,,Steelite International,Craft,Bowls,4 oz,12,Lifetime Edge Chip,$700.17,,True
Steelite - 7 In X 2 3/8 In (7 Oz) White Organics Low Bowl (12 Per Case) - 9002C644,https://williamsfoodequipment.com/steelite-7-in-x-2-3-8-in-7-oz-white-organics-low-bowl-12-per-case-9002c644/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60334/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,9002C644,,Steelite International,Organics,Bowls,7 oz,12,Lifetime Edge Chip,"$2,405.47",,True
Steelite - 10 1/2 In Vesuvius Burnt Green Vesuvius Tray Square (6 Per Case) - 12030553,https://williamsfoodequipment.com/steelite-10-1-2-in-vesuvius-burnt-green-vesuvius-tray-square-6-per-case-12030553/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60146/main/image-url_zoom.webp,,,,,,,Green,Alumina Vitrified,,,,12030553,,Steelite International,Vesuvius,Platters,,6,Lifetime Edge Chip,"$1,562.39",,True
Steelite - 14 1/2 In X 8 In X 1 1/2 In White Organics Platter (6 Per Case) - 9002C641,https://williamsfoodequipment.com/steelite-14-1-2-in-x-8-in-x-1-1-2-in-white-organics-platter-6-per-case-9002c641/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60214/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,9002C641,,Steelite International,Organics,Platters & Trays,,6,Lifetime Edge Chip,"$1,750.44",,True
Steelite - 10 In Craft White Craft Plate Coupe (24 Per Case) - 11550566,https://williamsfoodequipment.com/steelite-10-in-craft-white-craft-plate-coupe-24-per-case-11550566/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60255/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,11550566,,Steelite International,Craft,Plates,,24,Lifetime Edge Chip,"$1,874.86",,True
Steelite - 32 Oz  White Craft Bowl (12 Per Case) - 11550523,https://williamsfoodequipment.com/steelite-11-in-x-9-1-2-in-32-oz-white-craft-bowl-12-per-case-11550523/,https://cdn11.bigcommerce.com/s-obo8yy2d20/images/stencil/1280x1280/products/59996/100784/11550523__44450.1712006834.jpg?c=1,,,,,,,White,Alumina Vitrified,,,,11550523,,Steelite International,Craft,Bowls,32 oz,12,Lifetime Edge Chip,"$1,340.17",,True
Steelite - 4 1/2 In X 4 3/4 In (12 Oz) Blue Craft Quench Mug (24 Per Case) - 11300591,https://williamsfoodequipment.com/steelite-4-1-2-in-x-4-3-4-in-12-oz-blue-craft-quench-mug-24-per-case-11300591/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60181/main/image-url_zoom.webp,,,,,,,Blue,Alumina Vitrified,,,,11300591,,Steelite International,Craft,Mugs,12 oz,24,Lifetime Edge Chip,"$1,598.64",,True
Steelite - 5 In X 2 1/2 In (10 Oz) White Craft Slimline Cup StackIng (36 Per Case) - 11550188,https://williamsfoodequipment.com/steelite-5-in-x-2-1-2-in-10-oz-white-craft-slimline-cup-stacking-36-per-case-11550188/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60283/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,11550188,,Steelite International,Craft,Cups,10 oz,36,Lifetime Edge Chip,"$2,022.57",,True
Steelite - 5 3/4 In X 1 5/8 In (6 1/2 Oz) White Simplicity Cookware Round Eared Dish (36 Per Case) - 11010191,https://williamsfoodequipment.com/steelite-5-3-4-in-x-1-5-8-in-6-1-2-oz-white-simplicity-cookware-round-eared-dish-36-per-case-11010191/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60261/main/image-url_zoom.webp,,,,,,,White,Alumina Vitrified,,,,11010191,,Steelite International,Simplicity Cookware,Bowls,6 1/2 oz,36,Lifetime Edge Chip,"$1,911.78",,True
Steelite - 5 1/4 In X 2 3/4 In (12 Oz) Blue Craft Low Cup (36 Per Case) - 11300152,https://williamsfoodequipment.com/steelite-5-1-4-in-x-2-3-4-in-12-oz-blue-craft-low-cup-36-per-case-11300152/,https://store-obo8yy2d20.mybigcommerce.com/content/product_images/60272/main/image-url_zoom.webp,,,,,,,Blue,Alumina Vitrified,,,,11300152,,Steelite International,Craft,Cups,12 oz,36,Lifetime Edge Chip,"$2,008.20",,True
