category_name,category_url,product_url
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-11-white-round-coupe-plate-case/5769001C1141.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-20-oz-white-round-coupe-bowl-case/5769001C096.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-6-white-round-coupe-plate-case/5769001C093.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-8-white-round-coupe-plate-case/5769001C092.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-8-75-oz-white-round-coupe-bowl-case/5769001C097.html
Steelite Distinction Contour China Dinnerware,https://www.webstaurantstore.com/69919/steelite-distinction-contour-china-dinnerware.html,https://www.webstaurantstore.com/steelite-distinction-contour-9-1-2-white-round-coupe-plate-case/5769001C1139.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-koto-10-5-8-x-5-1-2-black-rectangle-tray-case/57691090550.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-koto-12-1-2-x-7-1-2-black-rectangle-tray-case/57691090556.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-koto-13-1-2-x-10-5-8-black-rectangle-tray-case/57691090551.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-koto-14-1-2-x-6-1-2-black-rectangle-tray-case/57691090552.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-11-x-8-1-2-monaco-oval-platter-case/5769001C341.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-11-x-8-3-4-vogue-oval-platter-case/5769001C393.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-13-x-10-1-2-monaco-oval-platter-case/5769001C345.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-13-x-10-1-4-vogue-oval-platter-case/5769001C392.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-8-x-6-1-4-vogue-oval-platter-case/5769001C394.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/steelite-distinction-monaco-vogue-8-x-6-3-8-monaco-oval-platter-case/5769001C339.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/platter-13-x-10-5-oval-white-monique-distctn-dz/5769007C026.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/platter-15-x-11-75-oval-white-monique-distn-6pk/5769007C036.html
China Platters and Trays,https://www.webstaurantstore.com/41995/china-platters-and-trays.html?vendor=Steelite-Distinction,https://www.webstaurantstore.com/tray-14-x-4-white-neo-distinction-dz/5769001C085.html
